ref_id,area,reference,method_or_resource,relevance_to_pvc_fedorion,limitation_or_caution,url,review_status
L01,Vietnamese SER and dataset,"Manh et al. (2026), Advancing Vietnamese Speech Emotion Recognition: The OrionNet Architecture and VESC Corpus, LNEE 1583, pp. 229-240, DOI 10.1007/978-981-95-7896-2_21",VESC and OrionNet,"Primary description of the corpus, labels, published architecture, and reported baselines","Published OrionNet uses a multi-feature representation; its reported split is not accepted as an unseen-speaker baseline for this project",https://doi.org/10.1007/978-981-95-7896-2_21,reviewed
L02,Evaluation protocol,"Schuller et al. (2010), The INTERSPEECH 2010 Paralinguistic Challenge, DOI 10.21437/Interspeech.2010-739",Speaker-independent challenge protocol and unweighted accuracy,"Supports standardized evaluation, strict partitions, reproducible features, and UAR-style metrics","Tasks are age, gender, and level of interest; this is not a direct five-class VESC SER baseline",https://doi.org/10.21437/Interspeech.2010-739,reviewed
L03,Federated baseline,"McMahan et al. (2017), Communication-Efficient Learning of Deep Networks from Decentralized Data, AISTATS/PMLR 54",FedAvg,"Canonical federated averaging baseline and communication-round framing","Does not address paired speech views or VESC-specific speaker/source confounding",https://proceedings.mlr.press/v54/mcmahan17a.html,reviewed
L04,Federated heterogeneity,"Li et al. (2020), Federated Optimization in Heterogeneous Networks, MLSys 2",FedProx,"Baseline for statistical and systems heterogeneity","A reported advantage on other datasets does not imply that FedProx will win on VESC",https://proceedings.mlsys.org/paper_files/paper/2020/hash/1f5fe83998a09396ebe6477d9475ba0c-Abstract.html,reviewed
L05,Feature-shift federated learning,"Li et al. (2021), FedBN: Federated Learning on Non-IID Features via Local Batch Normalization, ICLR",FedBN,"Relevant when clients have feature/source shift","Local BN statistics make global unseen-client evaluation non-trivial; the test-time BN policy must be explicit",https://arxiv.org/abs/2102.07623,reviewed
L06,Federated SER,"Tsouvalas, Ozcelebi, and Meratnia (2022), Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning",Semi-supervised FL for SER under low label availability and non-IID data,"Proves that federated SER and non-IID SER precede this project; informs honest novelty framing","Focuses on labeled/unlabeled self-training rather than naturally paired original/processed views",https://arxiv.org/abs/2202.02611,reviewed
L07,Federated affective computing,"Somandepalli et al. (2022), Federated Learning for Affective Computing Tasks, ACII, DOI 10.1109/ACII55700.2022.9953856",FedAvg for user-as-client and rater-as-client affective tasks,"Supports client-level evaluation and shows that affect labels can behave differently across federated paradigms","Broader affective-computing setting; not a direct VESC paired-view method",https://doi.org/10.1109/ACII55700.2022.9953856,reviewed
L08,Deep SER architecture,"Liu et al. (2025), ESERNet: Learning Spectrogram Structure Relationship for Effective Speech Emotion Recognition with Swin Transformer in Classroom Discourse Analysis, Neurocomputing 612, 128711",ESERNet,"Primary architecture reference for one centralized comparison model","Original datasets, tasks, and feature settings differ; implementation must be adapted to the common front-end",https://doi.org/10.1016/j.neucom.2024.128711,reviewed
L09,Deep SER architecture,"Zhang et al. (2025), Sparse Temporal Aware Capsule Network for Robust Speech Emotion Recognition, Engineering Applications of Artificial Intelligence 144, 110060",STACN,"Primary architecture reference for the capsule/temporal comparison model","Published computational scale and inputs may not match the small VESC setting",https://doi.org/10.1016/j.engappai.2025.110060,reviewed
L10,Deep SER architecture,"Poorna, Menon, and Gopalan (2025), Hybrid CNN-BiLSTM Architecture with Multiple Attention Mechanisms to Enhance Speech Emotion Recognition, Biomedical Signal Processing and Control 100, 106967",CNN-BiLSTM with attention,"Primary architecture reference for the hybrid comparison model","Published method uses multiple feature branches; the common log-Mel implementation is an adaptation",https://doi.org/10.1016/j.bspc.2024.106967,reviewed

